pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Papiloma virus genotip 31,Necunoscut,virus,8,COL UTERIN (cancer de...); Cancer de piele; Cancer de situs primar necunoscut; Cancer de sân; Cancer de căi genitourinare; Cancer pulmonar legat de azbest; Cancer de cap și gât; UTER (CANCER DE COL UTERIN...),erythrocutes; bronchi; uterus; cutis; endometrium; prostata; uterine cervix; renes; mama dextra; lymph; blood; mamma sinistra; pulma; larynx; pharynx; vesies urinaria
Papiloma virus genotip 58,Necunoscut,virus,8,COL UTERIN (cancer de...); Cancer de piele; Cancer de situs primar necunoscut; Cancer de sân; Cancer de căi genitourinare; Cancer pulmonar legat de azbest; Cancer de cap și gât; UTER (CANCER DE COL UTERIN...),erythrocutes; bronchi; uterus; cutis; endometrium; prostata; uterine cervix; renes; mama dextra; lymph; blood; mamma sinistra; pulma; larynx; pharynx; vesies urinaria
Staphylococcus epidermidis (piele/mucoase),Necunoscut,-,35,"Infecții produse de Aeromonas și Plesiomonas; Infecții cu Herpesvirusurile Umane 6 și 7 (HHV-6, HHV-7); Infecții meningococice și listerioza; Deficit de zinc și vitamina A; Infecții provocate de Haemophilus influenzae tip b (Hib); Deficitul de vitamine și minerale; Hipogonadism hipogonadotropic (deficit de LH și FSH); Infecții legate de schimbările climatice; Examen de frotiu sanguin și măduvă osoasă; Infecții cauzate de Haemophilus ducreyi (chancre moale); Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Infecții; Coxiurile de ciment (silicoza și boli obstructive); Infecții produse prin mușcături de câine; Deficitul de Carnitină și CPT; Infecții produse prin mușcături de pisică; Infecții cauzate de Haemophilus, Bordetella etc.; Infecții sistemice și sepsis (e.g., bacteriemie, fungemie); Sindromul de Ambliopie, Neuropatie Dureroasă și Dermatită Orogenitală (Sindromul Strachan); Hepatita toxică și indusă de medicamente; Infecții de transmitere sexuală și ale aparatului reproducător; Infecții osoase și articulare (e.g., osteomielită); Sindromul de ambliopie, neuropatie dureroasă și dermatită orogenitală (Sindromul Strachan); Infecțiile respiratorii recurente (legate de bronșiectazii și FC); MICOZĂ (... pe pielea capului, fire de păr și unghii); Sindromul carcinoid și boala Hartnup (Deficit secundar de Niacină); Infecții produse de arsuri termice; Infecții produse de mușcătura de om; Cancer de cap și gât; Sindromul de neoplazie endocrină multiplă (MEN 1 și MEN 2); Hiperproducția de renină și aldosteronism secundar; Infecții urinare și renale; Infecții ale pielii, țesuturilor moi, articulațiilor și oaselor; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Infecții produse de mușcăturile șerpilor veninoși",bronchi; uterus; uterine cervix; nervus opticus; prostata; renes; os; mama dextra; gland. parathyreoid; colon; mucosa nasalis; larynx; pancreas; dura mater encephali; cartilago comp.; pia mater encephali; petina et chorioidea; mamma sinistra; blood; hepar; vesies urinaria; auditory ossicle; vagina; tympanic cavity; muscle; ovaria; membrana synovalis; testes; pharynx; hypophysis; gld. supraren. med.; cochlea; tuba auditiva; nos. kpl. sinusitis; erythrocutes; medulla spinalis; cutis; lymph; pulma; gld. supraren. cort; bones; cor
Besnoitia,Parazit,"352,800",3,"CANCER LA TESTICULE; LEZIUNI; Schistosomiaza cerebrală (S. japonicum și rar S. haematobium, S. mansoni)",muscle; cutis; os; testes; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Besnoitia (sect. plămâni) – protozoar,358,361.4,3,"CANCER LA TESTICULE; LEZIUNI; Schistosomiaza cerebrală (S. japonicum și rar S. haematobium, S. mansoni)",muscle; cutis; os; testes; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Besnoitia (sectiune pulmon),358,361.4,3,"CANCER LA TESTICULE; LEZIUNI; Schistosomiaza cerebrală (S. japonicum și rar S. haematobium, S. mansoni)",muscle; cutis; os; testes; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Stephanurus dentalus (oua),461,463.1,2,LEZIUNI; CANCER LA UTER (col si corp),muscle; uterus; cutis; endometrium; os; bones
Onco-virus MYC,Necunoscut,virus,6,LIMFOM; Mielom multiplu; Cancer pulmonar; Cancer pulmonar legat de azbest; LEUCEMIE; Carcinogeneza respiratorie (cancer pulmonar legat de expunerea profesională),erythrocutes; bronchi; granulocytes; os; lymph; blood; pulma; bone marrow; larynx; pharynx; bones
Candida albicans (piele),Fungi,"384,200",2,Candidoza; CANDIDOZA,vagina; cutis; tongue
Candida albicans (digestiv),Necunoscut,9.876.591,6,Gastrita; CANDIDOZA; Candidoza; Esofagita; GASTRITA; ESOFAG,vagina; cardia; cutis; tongue; pylorus; esophagus; ventriculus
Candida albicans (pudra pura),386,388.4,4,Candidoza; ESOFAG; Esofagita; CANDIDOZA,vagina; cutis; esophagus; tongue
Candida albicans (pulmonar),Necunoscut,4.891.444,2,Candidoza; CANDIDOZA,vagina; cutis; tongue
Candida albicans / Candida pulmonara,Necunoscut,ciuperca,4,Candidoza; Transplant pulmonar și complicații; Infecția cu HIV (Human Immunodeficiency Virus); CANDIDOZA,vagina; erythrocutes; bronchi; cutis; tongue; lymph; blood; pulma; thymus (gland)
Candida albicans – candidoză pulmonară,Necunoscut,ciuperca,2,Candidoza; CANDIDOZA,vagina; cutis; tongue
Monilia albicans,Necunoscut,ciuperca,4,Candidoza; ESOFAG; Esofagita; CANDIDOZA,vagina; cutis; esophagus; tongue
Capillaria hepatica,Necunoscut,parazit,3,Hepatita C; Capilarioza; HEPATITA,hepar; Sistemic
Capillaria hepatica (sectiune ficat),428,430.65,2,Capilarioza; LEZIUNI,muscle; cutis; os; bones; Sistemic
Hepatitis B,Virus,"414,000",14,Pancreatita acută și cronică; Ciroza hepatică; Hepatita toxică și indusă de medicamente; Steatoza hepatică și hepatita steatozică; Hepatita acută fulminantă; CELUL; Hepatita acută virală; Carcinom hepatocelular; Osteomielita acută și cronică; Hepatita cronică; Meningită acută și encefalită; Hepatita B; Hepatita cronică virală; HEPATITA,pia mater encephali; cutis; cauda pancreat.; os; periosteum; lymph; pancreas; occipital cerebrum; cerebrum totalis; bones; dura mater encephali; frontal cerebrum; hepar
Hepatitis C,Virus,"8.441.015,12",7,Ciroza hepatică; CELUL; Carcinom hepatocelular; Hepatita cronică; Hepatita cronică virală; Hepatita C; HEPATITA,lymph; hepar; cutis
Hepatitis B antigen,418,420.8,14,Pancreatita acută și cronică; Ciroza hepatică; Hepatita toxică și indusă de medicamente; Steatoza hepatică și hepatita steatozică; Hepatita acută fulminantă; CELUL; Hepatita acută virală; Carcinom hepatocelular; Osteomielita acută și cronică; Hepatita cronică; Meningită acută și encefalită; Hepatita B; Hepatita cronică virală; HEPATITA,pia mater encephali; cutis; cauda pancreat.; os; periosteum; lymph; pancreas; occipital cerebrum; cerebrum totalis; bones; dura mater encephali; frontal cerebrum; hepar
Taenia pisiformis (cysticercus),Parazit,4.752.000,31,OCHI (afecțiuni ale...); OCHI — CATARACTĂ; OCHI — DALTONISM; OCHI — DEGENERESCENȚA RETINIANĂ (maculară); OCHI — MIOPIE; OCHI — RETINITA PIGMENTARĂ / RETINOPATIA PIGMENTARĂ; OCHI — ORBIRE; OCHI — CHERATITA; OCHI (afecțiuni ale copiilor); OCHI — PUPILE (Midriaza); MASOCHISM; OCHI — ASTIGMATISM; TENIA; OCHI — CONJUNCTIVITĂ; OCHI — GLAUCOM; OCHI — STRABISM DIVERGENT; SADOMASOCHISM; OCHI — STRABISM (în general); OCHI — STRABISM CONVERGENT; OCHI — CEARCĂNE; CEARCANE (LA OCHI...); OCHI USCAȚI; OCHI — HIPERMETROPIE ȘI PREZBITISM; OCHI — NISTAGMUS; OCHI — PTERIGION; Keratoconjunctivită uscată (sindrom de ochi uscat); Pseudochist pancreatic; OCHI — DEZLIPIREA DE RETINĂ; OCHI — COMOTIA RETINIANĂ; OCHI (ÎN GENERAL); URĂ,petina et chorioidea; nervus opticus; cauda pancreat.; conjunctiva; colon; cerebrum totalis; crystalline lens; corpus amygdaloid.; art. et vena ophth.; cornea; ileum; pancreas; vitreous body
Jun (din Onchocerca),Virus,"336,000",1,CECITATE,crystalline lens; cornea; vitreous body; conjunctiva
Onchocerca volvulus (tumoare),440,442.1,4,DERMATITA; NODULI; Oncocercoza; CECITATE,cutis; petina et chorioidea; conjunctiva; glandula thyreoidea; lymph; crystalline lens; cornea; vitreous body
Onchocerca volvulus (tumora),440,442.1,3,NODULI; Oncocercoza; CECITATE,cutis; petina et chorioidea; conjunctiva; glandula thyreoidea; lymph; crystalline lens; cornea; vitreous body
Angiostrongylus cantomensis,Necunoscut,parazit,4,Cefaleea Cluster; Migrene și Cefalee; CEFALEE; VĂRSĂTURI,nervus trigeminus; cerebrum totalis; nervus vagus; ventriculus; arteries
HTLV 1 (virusul T-limfotropic uman 1),Virus,4.686.298,8,Leucemia/limfomul cu celule T al adultului (ATLL); Leucemia/limfomul cu celule T al adultului (HTLV-I); CELUL; LIMFOM; LEUCEMIE; Limfomul limfoblastic cu precursori ai celulei T sau B; Mielopatia asociată cu HTLV-I (parapareza spastică tropicală); Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K),erythrocutes; medulla spinalis; cutis; granulocytes; lymph; conjunctiva; blood; crystalline lens; bone marrow; cornea; vitreous body
Acid malonic,Necunoscut,4.864.684,1,CELUL,lymph; cutis
Cytochalasin B,Necunoscut,91,1,CELUL,lymph; cutis
Cytochalsin B,Necunoscut,-,1,CELUL,lymph; cutis
Didinium,404,406.05,1,CELUL,lymph; cutis
HTLV 2 (virusul T-limfotropic uman 2),Necunoscut,3.850.032,5,Leucemia/limfomul cu celule T al adultului (ATLL); Leucemia/limfomul cu celule T al adultului (HTLV-I); CELUL; LEUCEMIE; Limfomul limfoblastic cu precursori ai celulei T sau B,erythrocutes; cutis; granulocytes; lymph; blood; bone marrow
HTLV-2 lymphotrofic (Human T-cell virus tip 2),Necunoscut,virus,5,Leucemia/limfomul cu celule T al adultului (ATLL); Leucemia/limfomul cu celule T al adultului (HTLV-I); CELUL; LEUCEMIE; Limfomul limfoblastic cu precursori ai celulei T sau B,erythrocutes; cutis; granulocytes; lymph; blood; bone marrow
Hydroxid de graten,Necunoscut,-,1,CELUL,lymph; cutis
Il nucleo – mio nucleo splenico interno – celula madre DNA master,Frecvență celulă stem,altele,1,CELUL,lymph; cutis
Linfoma celule B immaturo oncogenic rez. virala,Necunoscut,virus,8,Infecții cu Herpesvirusul Umane 8 (HHV-8); Leucemia/limfomul cu celule T al adultului (ATLL); Leucemia/limfomul cu celule T al adultului (HTLV-I); CELUL; Infecții virale (ex.: HIV); LIMFOM; Vitiligo (asociat cu tratamente cu PUVA); Limfomul limfoblastic cu precursori ai celulei T sau B,erythrocutes; cutis; lymph; blood; bone marrow
Mycobacterium stegmatis / gregmatis,Necunoscut,bacterie,5,"Infecții; CELUL; Celulita; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum)",erythrocutes; blood; lymph; cutis
Piodermite,Necunoscut,bacterie,4,Impetigo; CELUL; Celulita; FOLICULITA,lymph; cutis
Streptococcus beta haemolyticus (pentru erizipel),Necunoscut,4.123.548,7,"Sindromul streptococic asemănător șocului toxic; CELUL; Celulita; Erizipel; Fasciita necrozantă; Infecții cutanate (Impetigo, erizipel, celulită); Erizipeloidul (Infecții de la pești sau carne contaminată)",muscle; cutis; renes; lymph; blood; cor
Streptococcus sp. group G (dinte),368,368.85,6,"GAT — FARINGITA; Faringita streptococică; CELUL; Celulita; FARINGITA; Infecții sistemice și sepsis (e.g., bacteriemie, fungemie)",erythrocutes; cutis; lymph; blood; larynx; pharynx; cor
Sporotrix / Shenckii,Necunoscut,ciuperca,9,CHARCOT (boala lui...) SAU SCLEROZA LATERALA AMIOTROFICA; CREIER— HUNTINGTON (boala lui...) sau (COREE a lui ...); Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Limfangita; Sporotricoza; ULCER BUCAL (herpes) SAU ȘANCRU; GLANDA TIROIDA — BASEDOW (boala a lui...) SAU GUSA EXOFTALMICA; INTESTINE — CROHN (boala lui...) SAU ILEITĀ; ULCER PEPTIC SAU GASTRIC (la duoden sau stomac),pylorus; colon; cubital; cartilago comp.; frontal cerebrum; vitreous body; tongue; conjunctiva; tumica mucosa coli; ileum; duodenum; cardia; membrana synovalis; glandula thyreoidea; occipital cerebrum; cerebrum totalis; crystalline lens; cornea; pharynx; ventriculus; cutis; lymph; jejunum
Plasmodium falciparum smear (malarie),373.0,373.8,3,DINTI - MASEA DE MINTE INCLUSA; CHEAG DE SANGE; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS),erythrocutes; bronchi; mama dextra; mamma sinistra; blood; pulma; teeth
Cysticercus fasciolaris,Parazit,"436,400",3,EPILEPSIE; CHIST; Hipertensiune,ovaria; renes; occipital cerebrum; cerebrum totalis; frontal cerebrum; hepar; arteries; cor
Echinococcus granulosus (cysts),Parazit,"441,150",26,CREIER — MENINGITA; CREIER — (congestie a creierului...); CREIER — ECHILIBRU (pierderea echilibrului) SAU AMETEALA; CREIER — SINDROMUL ADAMS-STOKES; CREIER — PARALIZIE CEREBRALA; CREIER — TICURI; CREIER – ENCEFALITA; SACRU (OS); CREIER — HEMIPLEGIE; CHIST; CREIER— HUNTINGTON (boala lui...) sau (COREE a lui ...); CREIER — PARKINSON (boala lui...); CREIER (comotie) SAU COMOTIE CEREBRALA; CREIER (in general); CREIER (tumora la...); CREIER (abces la...); CREIER — STARE VEGETATIVA CRONICA; CREIER - APOPLEXIE; CREIER (durere la...); CREIER — EPILEPSIE; Sindromul de ovare polichistice (PCOS); CREIER — SINCOPA; CREIER — CREUTZFELD-JAKOB (boala...) SAU BOALA VACII NEBUNE; TUMORĂ LA CREIER; CREIER — HIDROCEFALIE; CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),vertebra sacralis; ovaria; cerebellum; pia mater encephali; renes; os; occipital cerebrum; cerebrum totalis; gld. supraren. cort; hypophysis; bones; dura mater encephali; frontal cerebrum; hepar
Echinococcus granulosus,Necunoscut,461.5,26,CREIER — MENINGITA; CREIER — (congestie a creierului...); CREIER — ECHILIBRU (pierderea echilibrului) SAU AMETEALA; CREIER — SINDROMUL ADAMS-STOKES; CREIER — PARALIZIE CEREBRALA; CREIER — TICURI; CREIER – ENCEFALITA; SACRU (OS); CREIER — HEMIPLEGIE; CHIST; CREIER— HUNTINGTON (boala lui...) sau (COREE a lui ...); CREIER — PARKINSON (boala lui...); CREIER (comotie) SAU COMOTIE CEREBRALA; CREIER (in general); CREIER (tumora la...); CREIER (abces la...); CREIER — STARE VEGETATIVA CRONICA; CREIER - APOPLEXIE; CREIER (durere la...); CREIER — EPILEPSIE; Sindromul de ovare polichistice (PCOS); CREIER — SINCOPA; CREIER — CREUTZFELD-JAKOB (boala...) SAU BOALA VACII NEBUNE; TUMORĂ LA CREIER; CREIER — HIDROCEFALIE; CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),vertebra sacralis; ovaria; cerebellum; pia mater encephali; renes; os; occipital cerebrum; cerebrum totalis; gld. supraren. cort; hypophysis; bones; dura mater encephali; frontal cerebrum; hepar
Chilomastix – chist (șobolan),"389, 426",390.7,1,CHIST,renes; ovaria; hepar
Echinococcus granulosus (chisturi),Necunoscut,446.5,3,Sindromul de ovare polichistice (PCOS); CHIST; SACRU (OS),vertebra sacralis; ovaria; renes; os; gld. supraren. cort; hypophysis; bones; hepar
Echinococcus granulosus (oua),Necunoscut,-,2,CHIST; Infecții produse de mușcătura de om,ovaria; cutis; membrana synovalis; renes; hepar
Echinococcus granulosus (ovule),Necunoscut,-,3,DINTI - MASEA DE MINTE INCLUSA; CHIST; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS),bronchi; ovaria; renes; pulma; teeth; hepar
Entamoeba coli – chist,Necunoscut,-,1,CHIST,renes; ovaria; hepar
Giardia lamblia chisturi,Necunoscut,-,5,CHIST; Sindromul de apnee în somn; Sindrom de apnee în somn; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); DINTI - MASEA DE MINTE INCLUSA,bronchi; ovaria; renes; pulma; teeth; pharynx; hepar; cor
Giardia lamblia – chist,455,426.3,4,"Encefalopatia mitocondrială cu acidoză lactică și accident vascular cerebral (MELAS); Intoxicații acute și cronice cu metale grele; CHIST; Infecții cu Herpesvirusurile Umane 6 și 7 (HHV-6, HHV-7)",erythrocutes; ovaria; cutis; renes; blood; occipital cerebrum; cerebrum totalis; bone marrow; frontal cerebrum; hepar
Schistosoma intercalatum,Necunoscut,parazit,4,"FRICA; CHIST; Hematuria; Schistosomiaza intestinală (Schistosoma mansoni, Schistosoma japonicum)",ovaria; renes; tumica mucosa coli; colon; sympathicus; hepar; corpus amygdaloid.; Sistemic
Schistosoma japonicum,Necunoscut,"364,000",29,"Hepatita D; Perihepatita gonococică (Sindromul Fitz-Hugh-Curtis); FICAT — CIROZA (... a ficatului); Ciroza metabolică; Hepatita cronică; ENCEFALITA; Hepatita B; CIROZA (... a ficatului); Hepatita HSV; FICAT — HEPATITA; CHIST; Ciroza postnecrotică; Hepatita autoimună; Steatoza hepatică și hepatita steatozică; Ciroza biliară primitivă; Ciroza alcoolică; Hepatita C; Ciroza biliară secundară; Infecții virale (ex. Hepatita B, C); Hepatita toxică și indusă de medicamente; Hepatita acută virală; Hepatita E; HEPATITA; Hepatita alcoolică; Ciroza hepatică; Hepatita acută fulminantă; Splenomegalie; Hepatita cronică virală; Hepatita G",ductus choledochus; ovaria; renes; ductuli biliferi; vesica fellea; occipital cerebrum; cerebrum totalis; frontal cerebrum; hepar; lien
Schistosoma japonicum cercarii,366.6,366.9,1,CHIST,renes; ovaria; hepar
Schistosoma japonicum femela,366,367.2,1,CHIST,renes; ovaria; hepar
Schistosoma japonicum miracidii,365.35,365.4,1,CHIST,renes; ovaria; hepar
Schistosoma japonicum oua,365,365.2,1,CHIST,renes; ovaria; hepar
Schistosoma japonicum – ovul,Necunoscut,-,1,CHIST,renes; ovaria; hepar
Schistosoma mansoni,353,"353,000",3,CHIST; Splenomegalie; Hipertensiune,lien; ovaria; renes; hepar; arteries; cor
Schistosoma mansoni femela,Necunoscut,354.9,3,"Schistosomiaza intestinală (Schistosoma mansoni, Schistosoma japonicum); CHIST; GAT - NOD IN GAT",ovaria; renes; tumica mucosa coli; colon; larynx; pharynx; hepar
Schistosoma mansoni mascul,Necunoscut,354.1,1,CHIST,renes; ovaria; hepar
Taenia solium (scolex),Necunoscut,448.9,2,CHIST; TENIA,ovaria; renes; colon; ileum; hepar
Trichinella spiralis (mușchi),404.5,405.57,7,CHIST; CREIER — PARALIZIE CEREBRALA; Miocardita; GAT - NOD IN GAT; Disfagie; Trichineloza; TRISMUS,ovaria; muscle; renes; myocardium; nervus trigeminus; occipital cerebrum; pulma; cerebrum totalis; esophagus; larynx; pharynx; frontal cerebrum; hepar; cor
Aflatoxina,☠️ Toxină,"177,000",1,Ciroză hepatică,hepar
Aflatoxin,Necunoscut,188,1,Ciroză hepatică,hepar
Opistorchis viverini,Parazit,"99,000",10,Pancreatita acută și cronică; Colangita; Colecistita acută; Colecistita cronică; Colecistita emfizematoasă; Pancreatita indusă de alcool; Pancreatita cronică; Pancreatita biliară; CISTITA; Pancreatita ereditară,ductus choledochus; bronchi; cauda pancreat.; vesies urinaria; vesica fellea; pulma; pancreas; ductuli biliferi
Cistitis,Grabovoi,-,1,CISTITA,vesies urinaria
Cistitis (Grabovoi),Necunoscut,-,1,CISTITA,vesies urinaria
Proteus vulgaris,Necunoscut,"408,750",3,"Infecții sistemice și sepsis (e.g., bacteriemie, fungemie); CISTITA; INFECTII URINARE",erythrocutes; renes; lymph; blood; vesies urinaria; cor
Proteus vulgaris (tract urinar),"413, 336, 328",416.45,8,Cistita interstițială; Colecistita acută; Colecistita cronică; Colecistita emfizematoasă; VEZICĂ — CISTITA; CISTITA; Cistita Hemoragică; URINA (INFECȚII URINARE) SAU CISTITA,ductus choledochus; bronchi; vesies urinaria; vesica fellea; pulma; ductuli biliferi
Papiloma virus,Necunoscut,virus,1,COL UTERIN (cancer de...),uterus; uterine cervix; endometrium
Fischoedrius elongatus,Parazit,"441,750",4,Icter obstructiv (extrahepatic sau intrahepatic); Icter; Colangita; ICTER (GALBINAREA),ductus choledochus; bilirubin; vesica fellea; hepar; ductuli biliferi
Clonorchis metacercariae,Necunoscut,-,1,Colangita,ductus choledochus; vesica fellea; ductuli biliferi
Fascioedrius elongatus,432,433.0,4,Icter obstructiv (extrahepatic sau intrahepatic); Icter; Colangita; ICTER (GALBINAREA),ductus choledochus; bilirubin; vesica fellea; hepar; ductuli biliferi
Platynosomum fastosum adult,Necunoscut,-,1,Colangita,ductus choledochus; vesica fellea; ductuli biliferi
Platynosomum fastosum dezvoltat,Necunoscut,-,2,Icter; Colangita,ductus choledochus; bilirubin; vesica fellea; ductuli biliferi
Cytophaga rubra,Bacterie,"428,100",11,"Complicații neurologice pe termen lung ale meningitei bacteriene; Infecții; Infecții bacteriene (Salmonella, Shigella, Campylobacter); Infecții de transmitere sexuală și ale aparatului reproducător; CONJUNCTIVITA; Infecții ale pielii, țesuturilor moi, articulațiilor și oaselor; Infecții la gazda imunocompromisă; Infecții produse de mușcătura de om; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum); Infecții profunde ale gâtului (spațiu faringian, lateral sau submandibular)",uterus; uterine cervix; prostata; os; parotid gland; colon; larynx; dura mater encephali; cartilago comp.; frontal cerebrum; vitreous body; pia mater encephali; conjunctiva; blood; submandibular gland; duodenum; vagina; membrana synovalis; occipital cerebrum; cerebrum totalis; crystalline lens; cornea; pharynx; teeth; erythrocutes; cutis; lymph; pulma; bones
Stephanurus dentalus (ova),Parazit,"457,350",4,"LEZIUNI; Infecții urinare și renale; Complicații renale și glomerulonefrită; Schistosomiaza cerebrală (S. japonicum și rar S. haematobium, S. mansoni)",muscle; cutis; renes; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum; vesies urinaria
Chlamydia trachomatis,Bacterie,"379,700",7,CONJUNCTIVITA; Pneumonia; Trahomul (C. trachomatis serotipurile A-C); Conjunctivita cu incluzii (C. trachomatis); Limfogranulomatoza veneriană (LGV); SALPINGITA; Conjunctivita cu incluzii a adultului (C. trachomatis serotipurile D-K),bronchi; uterus; endometrium; lymph; conjunctiva; pulma; crystalline lens; rectum; cornea; vitreous body; uterine tube
Shigella flexneri (depresie),394,394,3,CONJUNCTIVITA; Sindromul Reiter; Sindromul Reiter (C. trachomatis),uterine cervix; membrana synovalis; conjunctiva; crystalline lens; cornea; vitreous body
Ergot (Cornul secarei),Fungi,"295,000",3,Convulsii; MUȘCHI — CONVULSII; Convulsii și epilepsie,cerebrum totalis; frontal cerebrum; occipital cerebrum
Ergot,Necunoscut,-,3,Convulsii; MUȘCHI — CONVULSII; Convulsii și epilepsie,cerebrum totalis; frontal cerebrum; occipital cerebrum
Metagonimus Yokogawai,Parazit,"437,350",15,"Diareea osmotică; Diareea cronică; Diareea secretorie; DIAREEA CALATORULUI; CRAMPE ABDOMINALE; Diareea artificială (abuz de laxative, autoindusă); ENTERITA; Diaree, Constipație și Malabsorbție; Diareea datorată medicației (AINS, laxative, antibiotice); DIAREE; Diareea acută; Diareea inflamatorie; CRAMPE; INTESTINE — DIAREE; Diareea indusă de malabsorbția acizilor biliari (colecistectomie, boli ileale)",duodenum; ductus choledochus; muscle; vesica fellea; blood; tumica mucosa coli; colon; ileum; ventriculus; ductuli biliferi; jejunum
Giardia lamblia (trofozoite),424,426.3,6,"CRAMPE ABDOMINALE; Diaree, Constipație și Malabsorbție; Malabsorbție (Boala celiacă, insuficiență pancreatică, boala Whipple); DIAREE; CRAMPE; MALABSORBȚIE INTESTINALĂ",duodenum; muscle; cauda pancreat.; blood; tumica mucosa coli; colon; ileum; pancreas; ventriculus; jejunum
Hymenolepis diminuta,Necunoscut,"445,000",7,CRAMPE MUSCULARE (in general); DINTI - MASEA DE MINTE INCLUSA; CRAMPE ABDOMINALE; Prurit; DIAREE; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); CRAMPE,erythrocutes; bronchi; muscle; cutis; blood; tumica mucosa coli; colon; pulma; teeth; ventriculus
Mucor mucedo,Necunoscut,-,26,CREIER — MENINGITA; CREIER — (congestie a creierului...); CREIER — ECHILIBRU (pierderea echilibrului) SAU AMETEALA; CREIER — SINDROMUL ADAMS-STOKES; CREIER — PARALIZIE CEREBRALA; CREIER — TICURI; CREIER – ENCEFALITA; CREIER — HEMIPLEGIE; CREIER— HUNTINGTON (boala lui...) sau (COREE a lui ...); Mucormicoza; CREIER — PARKINSON (boala lui...); ULCER PEPTIC SAU GASTRIC (la duoden sau stomac); CREIER (comotie) SAU COMOTIE CEREBRALA; CREIER (in general); CREIER (tumora la...); CREIER (abces la...); CREIER — STARE VEGETATIVA CRONICA; CREIER - APOPLEXIE; CREIER (durere la...); CREIER — EPILEPSIE; CREIER — SINCOPA; CREIER — CREUTZFELD-JAKOB (boala...) SAU BOALA VACII NEBUNE; TUMORĂ LA CREIER; DIABET; CREIER — HIDROCEFALIE; CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),pylorus; renes; mucosa nasalis; pancreas; dura mater encephali; frontal cerebrum; pia mater encephali; blood; ileum; hepar; duodenum; cardia; cerebellum; occipital cerebrum; cerebrum totalis; ventriculus; erythrocutes; pulma; jejunum
Naegleria fowleri,Parazit,"356,000",5,Meningoencefalită amoebiană primară (Naegleria fowleri); FATA; ENCEFALITA; CREIER - APOPLEXIE; CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),nervus facialis; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Naegleria fowleri (sect. creier),Necunoscut,-,5,Meningoencefalită amoebiană primară (Naegleria fowleri); FATA; ENCEFALITA; CREIER - APOPLEXIE; CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),nervus facialis; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Naegleria fowleri (sectiune creier),Necunoscut,-,5,Meningoencefalită amoebiană primară (Naegleria fowleri); FATA; ENCEFALITA; CREIER - APOPLEXIE; CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),nervus facialis; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Vaso governatore,Canal energetic,altele,1,CREIER - ACCIDENT VASCULAR CEREBRAL (A.V.C.),cerebrum totalis; frontal cerebrum; occipital cerebrum
CMV (Cytomegalovirus),Virus,6.895.498,10,Pneumonia; Encefalita limbică; Encefalita amoebiană granulomatoasă (Acanthamoeba spp.); Encefalita cu virus herpes simplex; MONONUCLEOZA; CREIER – ENCEFALITA; ENCEFALITA; Hepatita C; Encefalita trunchiului cerebral; HEPATITA,bronchi; cutis; granuloma dentis; mesencephalon; lymph; occipital cerebrum; pulma; cerebrum totalis; pharynx; pons; frontal cerebrum; hepar; lien
Echovirus,Virus,8.695.458,8,GASTROENTERITA; Encefalita limbică; Encefalita amoebiană granulomatoasă (Acanthamoeba spp.); Encefalita cu virus herpes simplex; ENTERITA; CREIER – ENCEFALITA; ENCEFALITA; Encefalita trunchiului cerebral,duodenum; cardia; cutis; granuloma dentis; ventriculus; pylorus; mesencephalon; occipital cerebrum; cerebrum totalis; ileum; pons; frontal cerebrum; jejunum
